iter	Passed	Remaining
0	170	33854
1	183	18170
2	195	12847
3	207	10169
4	219	8569
5	231	7480
6	243	6710
7	255	6138
8	267	5686
9	280	5328
10	292	5024
11	304	4772
12	317	4561
13	328	4370
14	341	4207
15	353	4059
16	365	3930
17	377	3820
18	390	3723
19	403	3628
20	414	3535
21	427	3458
22	439	3381
23	451	3310
24	463	3241
25	475	3183
26	488	3128
27	500	3074
28	512	3022
29	524	2972
30	536	2923
31	548	2882
32	561	2840
33	573	2799
34	586	2762
35	598	2724
36	609	2686
37	622	2651
38	633	2616
39	645	2582
40	657	2549
41	669	2520
42	682	2491
43	694	2460
44	706	2432
45	718	2406
46	730	2377
47	742	2351
48	754	2324
49	766	2299
50	778	2275
51	790	2251
52	802	2226
53	814	2202
54	829	2186
55	842	2166
56	856	2148
57	870	2131
58	883	2112
59	896	2091
60	909	2073
61	923	2056
62	937	2038
63	951	2021
64	965	2004
65	978	1987
66	992	1970
67	1006	1953
68	1018	1933
69	1030	1914
70	1042	1894
71	1055	1875
72	1067	1857
73	1081	1841
74	1094	1823
75	1106	1805
76	1120	1790
77	1132	1771
78	1144	1753
79	1156	1735
80	1169	1717
81	1181	1700
82	1193	1682
83	1205	1664
84	1217	1647
85	1229	1630
86	1242	1613
87	1254	1596
88	1267	1580
89	1279	1563
90	1292	1548
91	1304	1531
92	1318	1516
93	1330	1500
94	1342	1483
95	1353	1466
96	1365	1449
97	1378	1434
98	1390	1418
99	1403	1403
100	1415	1387
101	1427	1371
102	1439	1355
103	1451	1339
104	1463	1324
105	1476	1308
106	1487	1293
107	1499	1277
108	1511	1261
109	1523	1246
110	1535	1231
111	1549	1217
112	1561	1202
113	1574	1187
114	1587	1173
115	1599	1158
116	1611	1143
117	1624	1128
118	1636	1113
119	1648	1098
120	1660	1083
121	1672	1069
122	1684	1054
123	1696	1039
124	1708	1025
125	1720	1010
126	1732	996
127	1745	981
128	1757	967
129	1769	952
130	1781	938
131	1793	923
132	1805	909
133	1817	895
134	1829	880
135	1841	866
136	1853	852
137	1866	838
138	1878	824
139	1891	810
140	1903	796
141	1915	782
142	1927	768
143	1939	754
144	1951	740
145	1963	726
146	1975	712
147	1987	698
148	1999	684
149	2011	670
150	2023	656
151	2036	642
152	2048	629
153	2060	615
154	2072	601
155	2084	587
156	2099	575
157	2111	561
158	2123	547
159	2136	534
160	2148	520
161	2160	506
162	2173	493
163	2184	479
164	2197	466
165	2209	452
166	2221	438
167	2232	425
168	2244	411
169	2257	398
170	2268	384
171	2281	371
172	2293	357
173	2305	344
174	2317	331
175	2329	317
176	2341	304
177	2353	290
178	2365	277
179	2377	264
180	2390	250
181	2404	237
182	2417	224
183	2429	211
184	2441	197
185	2454	184
186	2466	171
187	2478	158
188	2490	144
189	2502	131
190	2514	118
191	2526	105
192	2539	92
193	2551	78
194	2563	65
195	2576	52
196	2587	39
197	2600	26
198	2612	13
199	2624	0
